,Recommended Basket1,Recommended Basket2,Recommended Basket3,Recommended Basket4
0,milk,milk,milk,milk
1,eggs,ground beef,mineral water,mineral water
2,salmon,eggs,ground beef,ground beef
3,grated cheese,herb & pepper,eggs,eggs
4,herb & pepper,mineral water,spaghetti,spaghetti
5,mineral water,spaghetti,chocolate,chocolate
6,tomatoes,frozen vegetables, , 
7,french fries,chocolate, , 
8,spaghetti, , , 
9,chocolate, , , 
10,ground beef, , , 
11,turkey, , , 
12,cooking oil, , , 
13,olive oil, , , 
14,pancakes, , , 
15,soup, , , 
16,red wine, , , 
17,frozen vegetables, , , 
